current,left,current_abb,left_abb,count,year
California,Oklahoma,CA,OK,19561,Total 2016-2019
California,Oregon,CA,OR,80782,Total 2016-2019
California,Pennsylvania,CA,PA,53657,Total 2016-2019
California,Puerto Rico,CA,NA,5996,Total 2016-2019
California,Rhode Island,CA,RI,8605,Total 2016-2019
California,South Carolina,CA,SC,22970,Total 2016-2019
California,South Dakota,CA,SD,5377,Total 2016-2019
California,Tennessee,CA,TN,25494,Total 2016-2019
California,Texas,CA,TX,154981,Total 2016-2019
California,Utah,CA,UT,38983,Total 2016-2019
California,Vermont,CA,VT,3720,Total 2016-2019
California,Virginia,CA,VA,77741,Total 2016-2019
California,Washington,CA,WA,131005,Total 2016-2019
California,West Virginia,CA,WV,3488,Total 2016-2019
California,Wisconsin,CA,WI,26877,Total 2016-2019
California,Wyoming,CA,WY,6754,Total 2016-2019
Colorado,Alabama,CO,AL,12467,Total 2016-2019
Colorado,Alaska,CO,AK,6692,Total 2016-2019
Colorado,Arizona,CO,AZ,38383,Total 2016-2019
Colorado,Arkansas,CO,AR,4628,Total 2016-2019
Colorado,California,CO,CA,111561,Total 2016-2019
Colorado,Colorado,CO,CO,NA,Total 2016-2019
Colorado,Connecticut,CO,CT,7122,Total 2016-2019
Colorado,Delaware,CO,DE,954,Total 2016-2019
Colorado,District of Columbia,CO,DC,3601,Total 2016-2019
Colorado,Florida,CO,FL,54072,Total 2016-2019
Colorado,Foreign Country,CO,OR,96804,Total 2016-2019
Colorado,Foreign Country4,CO,OR,33042,Total 2016-2019
Colorado,Georgia,CO,GA,26064,Total 2016-2019
Colorado,Hawaii,CO,HI,12445,Total 2016-2019
Colorado,Idaho,CO,ID,6615,Total 2016-2019
Colorado,Illinois,CO,IL,39957,Total 2016-2019
Colorado,Indiana,CO,IN,11485,Total 2016-2019
Colorado,Iowa,CO,IA,11252,Total 2016-2019
Colorado,Kansas,CO,KS,22902,Total 2016-2019
Colorado,Kentucky,CO,KY,8140,Total 2016-2019
Colorado,Louisiana,CO,LA,10673,Total 2016-2019
Colorado,Maine,CO,ME,2650,Total 2016-2019
Colorado,Maryland,CO,MD,13896,Total 2016-2019
Colorado,Massachusetts,CO,MA,14983,Total 2016-2019
Colorado,Michigan,CO,MI,14300,Total 2016-2019
Colorado,Minnesota,CO,MN,18825,Total 2016-2019
Colorado,Mississippi,CO,MS,3555,Total 2016-2019
Colorado,Missouri,CO,MO,21624,Total 2016-2019
Colorado,Montana,CO,MT,7724,Total 2016-2019
Colorado,Nebraska,CO,NE,18477,Total 2016-2019
Colorado,Nevada,CO,NV,15509,Total 2016-2019
Colorado,New Hampshire,CO,NH,3155,Total 2016-2019
Colorado,New Jersey,CO,NJ,13354,Total 2016-2019
Colorado,New Mexico,CO,NM,26127,Total 2016-2019
Colorado,New York,CO,NY,31499,Total 2016-2019
Colorado,North Carolina,CO,NC,23598,Total 2016-2019
Colorado,North Dakota,CO,ND,6289,Total 2016-2019
Colorado,Ohio,CO,OH,16419,Total 2016-2019
Colorado,Oklahoma,CO,OK,19376,Total 2016-2019
Colorado,Oregon,CO,OR,14341,Total 2016-2019
Colorado,Pennsylvania,CO,PA,17489,Total 2016-2019
Colorado,Puerto Rico,CO,NA,3325,Total 2016-2019
Colorado,Rhode Island,CO,RI,2552,Total 2016-2019
Colorado,South Carolina,CO,SC,8450,Total 2016-2019
Colorado,South Dakota,CO,SD,6945,Total 2016-2019
Colorado,Tennessee,CO,TN,13481,Total 2016-2019
Colorado,Texas,CO,TX,105162,Total 2016-2019
Colorado,Utah,CO,UT,14350,Total 2016-2019
Colorado,Vermont,CO,VT,2322,Total 2016-2019
Colorado,Virginia,CO,VA,29303,Total 2016-2019
Colorado,Washington,CO,WA,25181,Total 2016-2019
Colorado,West Virginia,CO,WV,1091,Total 2016-2019
Colorado,Wisconsin,CO,WI,14303,Total 2016-2019
Colorado,Wyoming,CO,WY,14603,Total 2016-2019
Connecticut,Alabama,CT,AL,2610,Total 2016-2019
Connecticut,Alaska,CT,AK,1099,Total 2016-2019
Connecticut,Arizona,CT,AZ,2598,Total 2016-2019
Connecticut,Arkansas,CT,AR,1171,Total 2016-2019
Connecticut,California,CT,CA,14705,Total 2016-2019
Connecticut,Colorado,CT,CO,3202,Total 2016-2019
Connecticut,Connecticut,CT,CT,NA,Total 2016-2019
Connecticut,Delaware,CT,DE,1523,Total 2016-2019
Connecticut,District of Columbia,CT,DC,1666,Total 2016-2019
Connecticut,Florida,CT,FL,23282,Total 2016-2019
Connecticut,Foreign Country,CT,OR,73327,Total 2016-2019
Connecticut,Foreign Country4,CT,OR,20800,Total 2016-2019
Connecticut,Georgia,CT,GA,6532,Total 2016-2019
Connecticut,Hawaii,CT,HI,2306,Total 2016-2019
Connecticut,Idaho,CT,ID,0,Total 2016-2019
Connecticut,Illinois,CT,IL,5332,Total 2016-2019
Connecticut,Indiana,CT,IN,1568,Total 2016-2019
Connecticut,Iowa,CT,IA,413,Total 2016-2019
Connecticut,Kansas,CT,KS,502,Total 2016-2019
Connecticut,Kentucky,CT,KY,638,Total 2016-2019
Connecticut,Louisiana,CT,LA,2407,Total 2016-2019
Connecticut,Maine,CT,ME,3653,Total 2016-2019
Connecticut,Maryland,CT,MD,5610,Total 2016-2019
Connecticut,Massachusetts,CT,MA,41173,Total 2016-2019
Connecticut,Michigan,CT,MI,2900,Total 2016-2019
Connecticut,Minnesota,CT,MN,1722,Total 2016-2019
Connecticut,Mississippi,CT,MS,0,Total 2016-2019
Connecticut,Missouri,CT,MO,2130,Total 2016-2019
Connecticut,Montana,CT,MT,35,Total 2016-2019
Connecticut,Nebraska,CT,NE,343,Total 2016-2019
Connecticut,Nevada,CT,NV,499,Total 2016-2019
Connecticut,New Hampshire,CT,NH,2902,Total 2016-2019
Connecticut,New Jersey,CT,NJ,18296,Total 2016-2019
Connecticut,New Mexico,CT,NM,825,Total 2016-2019
Connecticut,New York,CT,NY,105669,Total 2016-2019
Connecticut,North Carolina,CT,NC,7346,Total 2016-2019
Connecticut,North Dakota,CT,ND,251,Total 2016-2019
Connecticut,Ohio,CT,OH,5074,Total 2016-2019
Connecticut,Oklahoma,CT,OK,816,Total 2016-2019
Connecticut,Oregon,CT,OR,1806,Total 2016-2019
Connecticut,Pennsylvania,CT,PA,13847,Total 2016-2019
Connecticut,Puerto Rico,CT,NA,15611,Total 2016-2019
Connecticut,Rhode Island,CT,RI,11240,Total 2016-2019
Connecticut,South Carolina,CT,SC,4794,Total 2016-2019
Connecticut,South Dakota,CT,SD,539,Total 2016-2019
Connecticut,Tennessee,CT,TN,2224,Total 2016-2019
Connecticut,Texas,CT,TX,12562,Total 2016-2019
Connecticut,Utah,CT,UT,1574,Total 2016-2019
Connecticut,Vermont,CT,VT,2222,Total 2016-2019
Connecticut,Virginia,CT,VA,7692,Total 2016-2019
Connecticut,Washington,CT,WA,2258,Total 2016-2019
Connecticut,West Virginia,CT,WV,875,Total 2016-2019
Connecticut,Wisconsin,CT,WI,985,Total 2016-2019
Connecticut,Wyoming,CT,WY,257,Total 2016-2019
Delaware,Alabama,DE,AL,693,Total 2016-2019
Delaware,Alaska,DE,AK,374,Total 2016-2019
Delaware,Arizona,DE,AZ,213,Total 2016-2019
Delaware,Arkansas,DE,AR,0,Total 2016-2019
Delaware,California,DE,CA,1890,Total 2016-2019
Delaware,Colorado,DE,CO,780,Total 2016-2019
Delaware,Connecticut,DE,CT,2339,Total 2016-2019
Delaware,Delaware,DE,DE,NA,Total 2016-2019
Delaware,District of Columbia,DE,DC,1007,Total 2016-2019
Delaware,Florida,DE,FL,4104,Total 2016-2019
Delaware,Foreign Country,DE,OR,11892,Total 2016-2019
Delaware,Foreign Country4,DE,OR,3688,Total 2016-2019
Delaware,Georgia,DE,GA,934,Total 2016-2019
Delaware,Hawaii,DE,HI,178,Total 2016-2019
Delaware,Idaho,DE,ID,30,Total 2016-2019
Delaware,Illinois,DE,IL,2563,Total 2016-2019
Delaware,Indiana,DE,IN,117,Total 2016-2019
Delaware,Iowa,DE,IA,205,Total 2016-2019
Delaware,Kansas,DE,KS,936,Total 2016-2019
Delaware,Kentucky,DE,KY,151,Total 2016-2019
Delaware,Louisiana,DE,LA,582,Total 2016-2019
Delaware,Maine,DE,ME,217,Total 2016-2019
Delaware,Maryland,DE,MD,31018,Total 2016-2019
Delaware,Massachusetts,DE,MA,1934,Total 2016-2019
Delaware,Michigan,DE,MI,605,Total 2016-2019
Delaware,Minnesota,DE,MN,45,Total 2016-2019
Delaware,Mississippi,DE,MS,279,Total 2016-2019
Delaware,Missouri,DE,MO,420,Total 2016-2019
Delaware,Montana,DE,MT,123,Total 2016-2019
Delaware,Nebraska,DE,NE,348,Total 2016-2019
Delaware,Nevada,DE,NV,176,Total 2016-2019
Delaware,New Hampshire,DE,NH,235,Total 2016-2019
Delaware,New Jersey,DE,NJ,22729,Total 2016-2019
Delaware,New Mexico,DE,NM,251,Total 2016-2019
Delaware,New York,DE,NY,11733,Total 2016-2019
Delaware,North Carolina,DE,NC,2418,Total 2016-2019
Delaware,North Dakota,DE,ND,167,Total 2016-2019
Delaware,Ohio,DE,OH,832,Total 2016-2019
Delaware,Oklahoma,DE,OK,1320,Total 2016-2019
Delaware,Oregon,DE,OR,104,Total 2016-2019
Delaware,Pennsylvania,DE,PA,40067,Total 2016-2019
Delaware,Puerto Rico,DE,NA,1111,Total 2016-2019
Delaware,Rhode Island,DE,RI,445,Total 2016-2019
Delaware,South Carolina,DE,SC,834,Total 2016-2019
Delaware,South Dakota,DE,SD,23,Total 2016-2019
Delaware,Tennessee,DE,TN,864,Total 2016-2019
Delaware,Texas,DE,TX,2789,Total 2016-2019
Delaware,Utah,DE,UT,206,Total 2016-2019
Delaware,Vermont,DE,VT,476,Total 2016-2019
Delaware,Virginia,DE,VA,5249,Total 2016-2019
Delaware,Washington,DE,WA,226,Total 2016-2019
Delaware,West Virginia,DE,WV,872,Total 2016-2019
Delaware,Wisconsin,DE,WI,296,Total 2016-2019
Delaware,Wyoming,DE,WY,0,Total 2016-2019
District of Columbia,Alabama,DC,AL,1270,Total 2016-2019
District of Columbia,Alaska,DC,AK,415,Total 2016-2019
District of Columbia,Arizona,DC,AZ,1788,Total 2016-2019
District of Columbia,Arkansas,DC,AR,105,Total 2016-2019
District of Columbia,California,DC,CA,14911,Total 2016-2019
District of Columbia,Colorado,DC,CO,2846,Total 2016-2019
District of Columbia,Connecticut,DC,CT,3934,Total 2016-2019
District of Columbia,Delaware,DC,DE,835,Total 2016-2019
District of Columbia,District of Columbia,DC,DC,NA,Total 2016-2019
